年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2017,主管及監督人員,支援服務業各業,29743,61722,59239,2483
2017,高階主管(總經理及總執行長),支援服務業各業,1471,143885,134852,9033
2017,中階主管(經理),支援服務業各業,6280,78924,75478,3446
2017,監督人員(含現場及辦公室主任_科/股長),支援服務業各業,21992,51313,49544,1769
2017,專業人員,支援服務業各業,7319,46178,43924,2254
2017,數學_精算及統計專業人員,支援服務業各業,… ,… ,… ,… 
2017,品管工程師,支援服務業各業,443,69728,56052,13676
2017,環境工程師,支援服務業各業,194,57980,57026,954
2017,化工工程師,支援服務業各業,… ,… ,… ,… 
2017,電機工程師,支援服務業各業,225,55561,55461,100
2017,電子工程師,支援服務業各業,734,54713,54249,464
2017,測量師及製圖師,支援服務業各業,… ,… ,… ,… 
2017,平面及多媒體設計師,支援服務業各業,201,45212,45054,158
2017,護理人員,支援服務業各業,10,39038,37877,1161
2017,勞安及衛生管理人員(含工業安全管理師),支援服務業各業,30,49667,49667,— 
2017,補教業教師,支援服務業各業,… ,… ,… ,… 
2017,財務_經濟及投資分析研究人員,支援服務業各業,7,48893,48849,44
2017,專案管理師(含經營管理顧問),支援服務業各業,271,59760,56739,3021
2017,稽核人員,支援服務業各業,8,56916,56916,— 
2017,人力資源管理師,支援服務業各業,147,55564,49547,6017
2017,廣告及行銷專業人員(含企劃),支援服務業各業,971,43927,42800,1127
2017,資訊系統分析及設計師,支援服務業各業,160,60309,56948,3361
2017,軟體開發及程式設計師,支援服務業各業,775,68223,64662,3561
2017,資料庫及網路專業人員,支援服務業各業,190,57531,55292,2239
2017,律師及相關專業人員,支援服務業各業,… ,… ,… ,… 
2017,社工_心理專業人員(含諮商人員),支援服務業各業,… ,… ,… ,… 
2017,編輯_作家及有關撰稿人員,支援服務業各業,21,43194,42035,1159
2017,翻譯人員,支援服務業各業,2821,29762,28605,1157
2017,技術員及助理專業人員,支援服務業各業,24674,38907,35461,3446
2017,營建工程技術員(含建築_土木_景觀_測量_水利),支援服務業各業,… ,… ,… ,… 
2017,電機技術員,支援服務業各業,1169,44026,40920,3106
2017,電子技術員,支援服務業各業,530,40863,38187,2676
2017,機械技術員(含造船_輪機_鑄造),支援服務業各業,207,37683,37672,11
2017,化工技術員,支援服務業各業,54,42118,42118,— 
2017,環境工程技術員,支援服務業各業,832,37173,37173,— 
2017,農業技術及農業推廣人員,支援服務業各業,… ,… ,… ,… 
2017,醫療設備控制技術員,支援服務業各業,… ,… ,… ,… 
2017,醫學及病理檢驗人員,支援服務業各業,… ,… ,… ,… 
2017,勞安及衛生技術員,支援服務業各業,… ,… ,… ,… 
2017,信用及貸款人員,支援服務業各業,298,27981,26180,1801
2017,會計人員,支援服務業各業,433,45548,44816,732
2017,工商業銷售代表(含業務員),支援服務業各業,11696,38843,33446,5397
2017,採購員,支援服務業各業,44,38291,37836,455
2017,報關員(含報驗_船務人員),支援服務業各業,… ,… ,… ,… 
2017,會議及活動規劃人員,支援服務業各業,1288,50520,41689,8831
2017,職業介紹人及承包人,支援服務業各業,3937,32647,32005,642
2017,不動產經紀人,支援服務業各業,35,27432,27432,— 
2017,專業秘書,支援服務業各業,366,47958,47111,847
2017,法務人員,支援服務業各業,175,43094,42681,413
2017,運動_健身及休閒娛樂指導員,支援服務業各業,… ,… ,… ,… 
2017,攝影師_攝影記者,支援服務業各業,… ,… ,… ,… 
2017,資訊管理及維護技術員,支援服務業各業,2327,42228,41510,718
2017,廣播及視聽技術員(含放映員),支援服務業各業,17,32720,32720,— 
2017,電信技術員,支援服務業各業,817,38490,38490,— 
2017,事務支援人員,支援服務業各業,82577,34897,33194,1703
2017,總務,支援服務業各業,2347,32023,30994,1029
2017,一般辦公室事務人員(含文書),支援服務業各業,34134,34401,32472,1929
2017,資料輸入人員,支援服務業各業,5012,28649,27752,897
2017,收帳_收費人員(含帳款催收),支援服務業各業,1172,31547,31039,508
2017,旅遊諮詢人員(含旅行社事務人員),支援服務業各業,12065,35943,33702,2241
2017,接待員及服務台事務人員,支援服務業各業,4013,30601,29991,610
2017,總機人員,支援服務業各業,1473,38467,33536,4931
2017,電話及網路客服人員,支援服務業各業,9081,39358,38257,1101
2017,統計調查訪談人員,支援服務業各業,189,37577,34466,3111
2017,會計助理_簿記_出納,支援服務業各業,6929,34926,33719,1207
2017,存貨事務人員,支援服務業各業,97,31233,30476,757
2017,生產及物料規劃事務人員,支援服務業各業,10,44916,44916,— 
2017,人事事務人員,支援服務業各業,6027,37784,35868,1916
2017,教務人員(含班導師_輔導員),支援服務業各業,… ,… ,… ,… 
2017,其他事務支援人員,支援服務業各業,… ,… ,… ,… 
2017,服務及銷售工作人員,支援服務業各業,103286,30975,28455,2520
2017,導遊_領隊及解說員,支援服務業各業,2239,34968,34665,303
2017,廚師,支援服務業各業,… ,… ,… ,… 
2017,美髮_美容及造型設計人員,支援服務業各業,… ,… ,… ,… 
2017,殯葬服務人員,支援服務業各業,… ,… ,… ,… 
