年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2014,主管及監督人員,支援服務業,37656,51624,48897,2727
2014,高階主管(總經理及總執行長),支援服務業,1737,124137,117720,6417
2014,中階主管(經理),支援服務業,9509,64010,61143,2867
2014,現場及辦公室監督人員(含主任、科/股長),支援服務業,26410,42395,39961,2434
2014,專業人員,支援服務業,7761,43906,41910,1996
2014,土木及水利工程師,支援服務業,106,57071,52197,4874
2014,環境工程師,支援服務業,… ,… ,… ,… 
2014,電機工程師,支援服務業,1476,52376,48812,3564
2014,電子工程師,支援服務業,359,58307,49442,8865
2014,室內設計師,支援服務業,… ,… ,… ,… 
2014,平面及多媒體設計師,支援服務業,108,40724,40724,— 
2014,產品及服裝設計師(含工業設計),支援服務業,… ,… ,… ,… 
2014,護理人員,支援服務業,… ,… ,… ,… 
2014,藥事人員(含藥師),支援服務業,… ,… ,… ,… 
2014,勞安及衛生管理人員(含工業安全管理師),支援服務業,8,43559,43559,— 
2014,財務、經濟及投資分析研究人員,支援服務業,19,47620,47620,— 
2014,專案管理師(含經營管理顧問),支援服務業,374,58027,56990,1037
2014,人力資源管理師,支援服務業,319,45785,45021,764
2014,廣告及行銷專業人員(含企劃),支援服務業,1984,34734,33315,1419
2014,資訊系統分析及設計師,支援服務業,224,52531,52156,375
2014,軟體開發及程式設計師,支援服務業,680,43867,43120,747
2014,資料庫及網路專業人員,支援服務業,320,42953,42381,572
2014,編輯、作家及有關撰稿人員,支援服務業,… ,… ,… ,… 
2014,翻譯人員,支援服務業,1153,28313,26350,1963
2014,技術員及助理專業人員,支援服務業,19640,38682,35265,3417
2014,電機技術員,支援服務業,1272,32273,30796,1477
2014,電子技術員,支援服務業,292,33652,32514,1138
2014,機械技術員(含造船、輪機、鑄造),支援服務業,454,37773,31232,6541
2014,品管技術員,支援服務業,… ,… ,… ,… 
2014,環境工程技術員,支援服務業,1109,30844,30484,360
2014,勞安及衛生技術員,支援服務業,15,32171,32171,— 
2014,信用及貸款人員,支援服務業,217,36960,36162,798
2014,工商業銷售代表(含業務員),支援服務業,10432,39398,35875,3523
2014,採購員,支援服務業,42,55548,51007,4541
2014,會議及活動規劃人員,支援服務業,… ,… ,… ,… 
2014,職業介紹人及承包人,支援服務業,4219,42126,37003,5123
2014,專業秘書,支援服務業,345,44760,41112,3648
2014,法務人員,支援服務業,200,42559,41578,981
2014,資訊管理及維護技術員,支援服務業,906,33460,31990,1470
2014,事務支援人員,支援服務業,74038,33951,32146,1805
2014,總務,支援服務業,2739,33865,33569,296
2014,一般辦公室事務人員(含文書),支援服務業,31471,33184,31818,1366
2014,資料輸入人員,支援服務業,3247,27306,26637,669
2014,收帳、收費人員(含帳款催收),支援服務業,3747,39317,31305,8012
2014,旅遊諮詢人員(含旅行社事務人員),支援服務業,12831,35355,33465,1890
2014,接待員及服務台事務人員,支援服務業,2707,31883,31074,809
2014,總機人員,支援服務業,1288,28687,28569,118
2014,電話及網路客服人員,支援服務業,3571,35465,33715,1750
2014,統計調查訪談人員,支援服務業,… ,… ,… ,… 
2014,會計、簿記、出納,支援服務業,7819,34205,32725,1480
2014,存貨事務人員,支援服務業,872,30400,29347,1053
2014,人事事務人員,支援服務業,3691,38225,34924,3301
2014,其他事務支援人員,支援服務業,19,40340,40340,— 
2014,服務及銷售工作人員,支援服務業,85513,29417,26473,2944
2014,導遊、領隊及解說員,支援服務業,2069,36103,34319,1784
2014,廚師,支援服務業,… ,… ,… ,… 
2014,餐飲服務人員,支援服務業,… ,… ,… ,… 
2014,按摩師,支援服務業,12,26836,26836,— 
2014,商店銷售人員(含百貨公司樓管人員),支援服務業,1421,33902,33172,730
2014,收銀員及售票員,支援服務業,1627,25504,24433,1071
2014,展售說明人員,支援服務業,1946,35234,31899,3335
2014,電話及網路行銷人員,支援服務業,1241,33713,28690,5023
2014,加油站服務員,支援服務業,1513,27626,27562,64
2014,健康照顧人員(含看護),支援服務業,1372,35732,31620,4112
2014,建築物管理員、保全及警衛人員,支援服務業,73792,28959,25921,3038
2014,技藝、機械設備操作及組裝人員,支援服務業,54383,33794,30593,3201
2014,園藝及農牧業生產人員,支援服務業,… ,… ,… ,… 
2014,泥作工作人員,支援服務業,… ,… ,… ,… 
2014,管道裝設人員(含檢修),支援服務業,… ,… ,… ,… 
2014,產業用機器維修人員,支援服務業,729,41322,34140,7182
2014,精密儀器製造及修理人員,支援服務業,… ,… ,… ,… 
2014,印刷人員,支援服務業,814,23632,21483,2149
2014,建築物電力系統裝修人員(含水電工),支援服務業,507,35612,34437,1175
2014,電力機械裝修人員,支援服務業,1946,31206,30522,684
2014,資(通)訊設備裝修人員,支援服務業,2302,38995,38174,821
2014,電子設備裝修人員(不含資通訊設備),支援服務業,9746,32527,28887,3640
2014,非食品飲料產品分級及檢查人員,支援服務業,… ,… ,… ,… 
2014,消毒及除蟲有關工作人員,支援服務業,233,36455,32823,3632
2014,水泥相關製品機械操作人員,支援服務業,… ,… ,… ,… 
