年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2016,主管及經理人員,支援服務業,28570,61058,57559,3499
2016,高階主管(總經理及總執行長),支援服務業,1392,133818,130893,2925
2016,中階主管(經理),支援服務業,6162,77474,73485,3989
2016,監督人員(含現場及辦公室主任_科/股長),支援服務業,21016,51426,48033,3393
2016,專業人員,支援服務業,6770,46604,44080,2524
2016,品管工程師,支援服務業,…,…,…,…
2016,工管及生管工程師,支援服務業,…,…,…,…
2016,環境工程師,支援服務業,…,…,…,…
2016,機械工程師(含造船_輪機_鑄造),支援服務業,…,…,…,…
2016,化工工程師,支援服務業,…,…,…,…
2016,電機工程師,支援服務業,244,56541,55557,984
2016,電子工程師,支援服務業,624,55850,55501,349
2016,平面及多媒體設計師,支援服務業,201,47409,47376,33
2016,護理人員,支援服務業,…,…,…,…
2016,勞安及衛生管理人員(含工業安全管理師),支援服務業,…,…,…,…
2016,財務_經濟及投資分析研究人員,支援服務業,126,73954,73898,56
2016,專案管理師(含經營管理顧問),支援服務業,425,88532,81351,7181
2016,稽核人員,支援服務業,…,…,…,…
2016,人力資源管理師,支援服務業,160,45808,45145,663
2016,廣告及行銷專業人員(含企劃),支援服務業,1047,47242,41954,5288
2016,資訊系統分析及設計師,支援服務業,112,63330,58636,4694
2016,軟體開發及程式設計師,支援服務業,606,63541,61919,1622
2016,資料庫及網路專業人員,支援服務業,222,95206,72567,22639
2016,律師及相關專業人員,支援服務業,…,…,…,…
2016,編輯_作家及有關撰稿人員,支援服務業,…,…,…,…
2016,翻譯人員,支援服務業,2507,24113,23565,548
2016,技術員及助理專業人員,支援服務業,22827,39521,36027,3494
2016,電機技術員,支援服務業,1062,46391,45362,1029
2016,電子技術員,支援服務業,507,43210,38596,4614
2016,機械技術員(含造船_輪機_鑄造),支援服務業,143,51687,51154,533
2016,食品技術員,支援服務業,193,44019,44019,—
2016,工管及生管技術員,支援服務業,…,…,…,…
2016,環境工程技術員,支援服務業,796,37562,35296,2266
2016,紡織技術員,支援服務業,…,…,…,…
2016,信用及貸款人員,支援服務業,324,30576,27004,3572
2016,會計人員,支援服務業,1001,43098,41927,1171
2016,統計及精算助理專業人員,支援服務業,…,…,…,…
2016,工商業銷售代表(含業務員),支援服務業,8964,39474,32618,6856
2016,採購員,支援服務業,…,…,…,…
2016,會議及活動規劃人員,支援服務業,1153,38609,38547,62
2016,職業介紹人及承包人,支援服務業,4821,35298,34158,1140
2016,專業秘書,支援服務業,245,45179,40726,4453
2016,法務人員,支援服務業,343,36001,33860,2141
2016,節目助理及舞台相關工作人員,支援服務業,71,23849,23443,406
2016,資訊管理及維護技術員,支援服務業,3149,43186,42200,986
2016,廣播及視聽技術員(含放映員),支援服務業,…,…,…,…
2016,事務支援人員,支援服務業,82210,35535,33049,2486
2016,總務,支援服務業,1728,32275,31122,1153
2016,一般辦公室事務人員(含文書),支援服務業,33658,34710,32333,2377
2016,資料輸入人員,支援服務業,4973,28745,27280,1465
2016,收帳_收費人員(含帳款催收),支援服務業,917,29246,27001,2245
2016,旅遊諮詢人員(含旅行社事務人員),支援服務業,12139,36972,33008,3964
2016,接待員及服務台事務人員,支援服務業,3054,33808,29931,3877
2016,總機人員,支援服務業,1814,40052,34168,5884
2016,電話及網路客服人員,支援服務業,11442,40032,38845,1187
2016,統計調查訪談人員,支援服務業,166,41241,34927,6314
2016,會計助理_簿記_出納,支援服務業,5932,34012,32447,1565
2016,存貨事務人員,支援服務業,210,30478,28314,2164
2016,運輸事務人員(含稽查_調度_管理_航務),支援服務業,…,…,…,…
2016,人事事務人員,支援服務業,5874,37709,34643,3066
2016,郵件處理及投遞人員,支援服務業,…,…,…,…
2016,服務及銷售工作人員,支援服務業,103978,30733,27946,2787
2016,導遊_領隊及解說員,支援服務業,1944,35957,34218,1739
2016,廚師,支援服務業,31,48297,47301,996
2016,宿舍舍監,支援服務業,190,21428,20975,453
2016,按摩師,支援服務業,19,25447,25447,—
2016,商店銷售人員(含百貨公司樓管人員),支援服務業,7813,43368,37505,5863
2016,收銀員及售票員,支援服務業,994,29103,28787,316
2016,展售說明人員,支援服務業,2276,23079,22864,215
2016,電話及網路行銷人員,支援服務業,3743,39247,32946,6301
2016,加油站服務員,支援服務業,6399,35389,34430,959
2016,兒童照顧人員(含保母),支援服務業,…,…,…,…
2016,健康照顧人員(含看護_月子照護),支援服務業,39,30946,30946,—
2016,建築物管理員_保全及警衛人員,支援服務業,80500,28867,26260,2607
2016,救生員,支援服務業,…,…,…,…
2016,技藝_機械設備操作及組裝人員,支援服務業,35489,32632,29178,3454
2016,園藝及農牧業生產人員,支援服務業,113,26160,26160,—
2016,泥作工作人員,支援服務業,…,…,…,…
2016,車輛維修人員(含自行車_機車_汽車_火車),支援服務業,…,…,…,…
2016,產業用機器維修人員,支援服務業,500,19352,19132,220
2016,美編及印刷前置人員,支援服務業,124,32543,28824,3719
2016,裝訂及有關工作人員,支援服務業,789,26451,25691,760
2016,建築物電力系統裝修人員(含水電工),支援服務業,261,37314,35940,1374
2016,電力機械裝修人員,支援服務業,3389,39414,32862,6552
2016,資(通)訊設備裝修人員,支援服務業,3638,43900,39612,4288
2016,電子設備裝配維修人員（不含資通訊設備）,支援服務業,2229,24766,21788,2978
2016,非食品飲料產品分級及檢查人員,支援服務業,…,…,…,…
2016,消毒及除蟲有關工作人員,支援服務業,67,28816,28516,300
2016,印刷電路板製造工,支援服務業,1074,29474,27407,2067
2016,洗滌工_熨燙工,支援服務業,…,…,…,…
2016,包裝機械操作人員,支援服務業,…,…,…,…
2016,組裝(現場)人員,支援服務業,19567,30546,27511,3035
2016,機車送件駕駛人員,支援服務業,…,…,…,…
2016,小客_貨車駕駛人員,支援服務業,1392,30740,27384,3356
2016,大客_貨車駕駛人員,支援服務業,1091,44995,36691,8304
2016,推土_吊車_起重機等移運設備操作人員,支援服務業,267,42555,37949,4606
2016,基層技術工及勞力工,支援服務業,65852,26003,25141,862
2016,清潔及家事工作人員(含建築清潔工),支援服務業,44042,25589,25042,547
2016,勞力工,支援服務業,16276,28179,26901,1278
2016,理貨員,支援服務業,4495,22288,19652,2636
2016,廚房幫工(含速食烹調),支援服務業,1039,25529,25529,—
2016,主管及經理人員,租賃業,2992,67127,55846,11281
2016,高階主管(總經理及總執行長),租賃業,99,117704,104684,13020
2016,中階主管(經理),租賃業,692,78773,71268,7505
2016,監督人員(含現場及辦公室主任_科/股長),租賃業,2201,61191,48801,12390
2016,專業人員,租賃業,625,54918,49259,5659
2016,品管工程師,租賃業,—,—,—,—
2016,工管及生管工程師,租賃業,—,—,—,—
2016,環境工程師,租賃業,—,—,—,—
2016,機械工程師(含造船_輪機_鑄造),租賃業,—,—,—,—
2016,化工工程師,租賃業,—,—,—,—
2016,電機工程師,租賃業,—,—,—,—
2016,電子工程師,租賃業,—,—,—,—
2016,平面及多媒體設計師,租賃業,—,—,—,—
2016,護理人員,租賃業,—,—,—,—
2016,勞安及衛生管理人員(含工業安全管理師),租賃業,—,—,—,—
2016,財務_經濟及投資分析研究人員,租賃業,—,—,—,—
2016,專案管理師(含經營管理顧問),租賃業,88,94696,75437,19259
2016,稽核人員,租賃業,—,—,—,—
2016,人力資源管理師,租賃業,…,…,…,…
2016,廣告及行銷專業人員(含企劃),租賃業,341,44568,41478,3090
2016,資訊系統分析及設計師,租賃業,—,—,—,—
2016,軟體開發及程式設計師,租賃業,181,55382,51175,4207
2016,資料庫及網路專業人員,租賃業,…,…,…,…
2016,律師及相關專業人員,租賃業,—,—,—,—
2016,編輯_作家及有關撰稿人員,租賃業,—,—,—,—
2016,翻譯人員,租賃業,—,—,—,—
2016,技術員及助理專業人員,租賃業,3844,39520,30859,8661
2016,電機技術員,租賃業,—,—,—,—
2016,電子技術員,租賃業,—,—,—,—
2016,機械技術員(含造船_輪機_鑄造),租賃業,…,…,…,…
2016,食品技術員,租賃業,—,—,—,—
2016,工管及生管技術員,租賃業,—,—,—,—
2016,環境工程技術員,租賃業,—,—,—,—
2016,紡織技術員,租賃業,—,—,—,—
2016,信用及貸款人員,租賃業,—,—,—,—
2016,會計人員,租賃業,744,35897,34488,1409
2016,統計及精算助理專業人員,租賃業,—,—,—,—
2016,工商業銷售代表(含業務員),租賃業,2218,40926,27063,13863
2016,採購員,租賃業,—,—,—,—
2016,會議及活動規劃人員,租賃業,—,—,—,—
2016,職業介紹人及承包人,租賃業,—,—,—,—
2016,專業秘書,租賃業,119,39721,31852,7869
2016,法務人員,租賃業,101,29496,24491,5005
2016,節目助理及舞台相關工作人員,租賃業,71,23849,23443,406
2016,資訊管理及維護技術員,租賃業,…,…,…,…
2016,廣播及視聽技術員(含放映員),租賃業,—,—,—,—
2016,事務支援人員,租賃業,4375,32003,27541,4462
2016,總務,租賃業,118,37825,32397,5428
2016,一般辦公室事務人員(含文書),租賃業,1792,32036,29554,2482
2016,資料輸入人員,租賃業,…,…,…,…
2016,收帳_收費人員(含帳款催收),租賃業,—,—,—,—
2016,旅遊諮詢人員(含旅行社事務人員),租賃業,—,—,—,—
2016,接待員及服務台事務人員,租賃業,990,35842,26580,9262
2016,總機人員,租賃業,82,29497,24653,4844
2016,電話及網路客服人員,租賃業,546,30996,30451,545
2016,統計調查訪談人員,租賃業,—,—,—,—
2016,會計助理_簿記_出納,租賃業,729,27934,22364,5570
2016,存貨事務人員,租賃業,…,…,…,…
2016,運輸事務人員(含稽查_調度_管理_航務),租賃業,—,—,—,—
2016,人事事務人員,租賃業,…,…,…,…
2016,郵件處理及投遞人員,租賃業,—,—,—,—
2016,服務及銷售工作人員,租賃業,475,19096,18435,661
2016,導遊_領隊及解說員,租賃業,—,—,—,—
2016,廚師,租賃業,—,—,—,—
2016,宿舍舍監,租賃業,—,—,—,—
2016,按摩師,租賃業,—,—,—,—
2016,商店銷售人員(含百貨公司樓管人員),租賃業,—,—,—,—
2016,收銀員及售票員,租賃業,475,19096,18435,661
2016,展售說明人員,租賃業,—,—,—,—
2016,電話及網路行銷人員,租賃業,—,—,—,—
2016,加油站服務員,租賃業,—,—,—,—
2016,兒童照顧人員(含保母),租賃業,—,—,—,—
2016,健康照顧人員(含看護_月子照護),租賃業,—,—,—,—
2016,建築物管理員_保全及警衛人員,租賃業,—,—,—,—
2016,救生員,租賃業,—,—,—,—
2016,技藝_機械設備操作及組裝人員,租賃業,1996,28970,23134,5836
2016,園藝及農牧業生產人員,租賃業,—,—,—,—
2016,泥作工作人員,租賃業,—,—,—,—
2016,車輛維修人員(含自行車_機車_汽車_火車),租賃業,…,…,…,…
2016,產業用機器維修人員,租賃業,287,19011,18627,384
2016,美編及印刷前置人員,租賃業,…,…,…,…
2016,裝訂及有關工作人員,租賃業,—,—,—,—
2016,建築物電力系統裝修人員(含水電工),租賃業,—,—,—,—
2016,電力機械裝修人員,租賃業,—,—,—,—
2016,資(通)訊設備裝修人員,租賃業,…,…,…,…
2016,電子設備裝配維修人員（不含資通訊設備）,租賃業,61,23661,23661,—
2016,非食品飲料產品分級及檢查人員,租賃業,—,—,—,—
2016,消毒及除蟲有關工作人員,租賃業,—,—,—,—
2016,印刷電路板製造工,租賃業,—,—,—,—
2016,洗滌工_熨燙工,租賃業,—,—,—,—
2016,包裝機械操作人員,租賃業,—,—,—,—
2016,組裝(現場)人員,租賃業,—,—,—,—
2016,機車送件駕駛人員,租賃業,—,—,—,—
2016,小客_貨車駕駛人員,租賃業,655,25776,20402,5374
2016,大客_貨車駕駛人員,租賃業,…,…,…,…
2016,推土_吊車_起重機等移運設備操作人員,租賃業,—,—,—,—
2016,基層技術工及勞力工,租賃業,692,15576,15576,—
2016,清潔及家事工作人員(含建築清潔工),租賃業,—,—,—,—
2016,勞力工,租賃業,396,22954,22954,—
2016,理貨員,租賃業,…,…,…,…
2016,廚房幫工(含速食烹調),租賃業,—,—,—,—
2016,主管及經理人員,人力仲介業,1780,77058,72625,4433
2016,高階主管(總經理及總執行長),人力仲介業,137,182021,180282,1739
2016,中階主管(經理),人力仲介業,567,96408,84850,11558
2016,監督人員(含現場及辦公室主任_科/股長),人力仲介業,1076,53497,52475,1022
2016,專業人員,人力仲介業,3570,40705,38540,2165
2016,品管工程師,人力仲介業,—,—,—,—
2016,工管及生管工程師,人力仲介業,—,—,—,—
2016,環境工程師,人力仲介業,—,—,—,—
2016,機械工程師(含造船_輪機_鑄造),人力仲介業,—,—,—,—
2016,化工工程師,人力仲介業,—,—,—,—
2016,電機工程師,人力仲介業,…,…,…,…
2016,電子工程師,人力仲介業,—,—,—,—
2016,平面及多媒體設計師,人力仲介業,91,51546,51546,—
2016,護理人員,人力仲介業,—,—,—,—
2016,勞安及衛生管理人員(含工業安全管理師),人力仲介業,—,—,—,—
2016,財務_經濟及投資分析研究人員,人力仲介業,—,—,—,—
2016,專案管理師(含經營管理顧問),人力仲介業,159,123809,116847,6962
2016,稽核人員,人力仲介業,—,—,—,—
2016,人力資源管理師,人力仲介業,51,47042,46276,766
2016,廣告及行銷專業人員(含企劃),人力仲介業,203,51087,50671,416
2016,資訊系統分析及設計師,人力仲介業,—,—,—,—
2016,軟體開發及程式設計師,人力仲介業,377,69081,68493,588
2016,資料庫及網路專業人員,人力仲介業,174,106458,78253,28205
2016,律師及相關專業人員,人力仲介業,—,—,—,—
2016,編輯_作家及有關撰稿人員,人力仲介業,—,—,—,—
2016,翻譯人員,人力仲介業,2450,23977,23431,546
2016,技術員及助理專業人員,人力仲介業,5303,36401,34702,1699
2016,電機技術員,人力仲介業,—,—,—,—
2016,電子技術員,人力仲介業,—,—,—,—
2016,機械技術員(含造船_輪機_鑄造),人力仲介業,—,—,—,—
2016,食品技術員,人力仲介業,—,—,—,—
2016,工管及生管技術員,人力仲介業,—,—,—,—
2016,環境工程技術員,人力仲介業,—,—,—,—
2016,紡織技術員,人力仲介業,—,—,—,—
2016,信用及貸款人員,人力仲介業,—,—,—,—
2016,會計人員,人力仲介業,43,39536,39536,—
2016,統計及精算助理專業人員,人力仲介業,—,—,—,—
2016,工商業銷售代表(含業務員),人力仲介業,459,48285,36913,11372
2016,採購員,人力仲介業,—,—,—,—
2016,會議及活動規劃人員,人力仲介業,—,—,—,—
