年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2016,職業介紹人及承包人,人力仲介業,4610,34851,34032,819
2016,專業秘書,人力仲介業,…,…,…,…
2016,法務人員,人力仲介業,9,48054,48054,—
2016,節目助理及舞台相關工作人員,人力仲介業,—,—,—,—
2016,資訊管理及維護技術員,人力仲介業,168,45405,45325,80
2016,廣播及視聽技術員(含放映員),人力仲介業,—,—,—,—
2016,事務支援人員,人力仲介業,8859,29333,27991,1342
2016,總務,人力仲介業,306,30135,30134,1
2016,一般辦公室事務人員(含文書),人力仲介業,5713,30352,28592,1760
2016,資料輸入人員,人力仲介業,86,14570,14425,145
2016,收帳_收費人員(含帳款催收),人力仲介業,120,18359,17807,552
2016,旅遊諮詢人員(含旅行社事務人員),人力仲介業,—,—,—,—
2016,接待員及服務台事務人員,人力仲介業,…,…,…,…
2016,總機人員,人力仲介業,65,21866,21861,5
2016,電話及網路客服人員,人力仲介業,824,33282,31923,1359
2016,統計調查訪談人員,人力仲介業,—,—,—,—
2016,會計助理_簿記_出納,人力仲介業,908,25788,25719,69
2016,存貨事務人員,人力仲介業,—,—,—,—
2016,運輸事務人員(含稽查_調度_管理_航務),人力仲介業,—,—,—,—
2016,人事事務人員,人力仲介業,741,25892,25116,776
2016,郵件處理及投遞人員,人力仲介業,—,—,—,—
2016,服務及銷售工作人員,人力仲介業,575,31647,25960,5687
2016,導遊_領隊及解說員,人力仲介業,—,—,—,—
2016,廚師,人力仲介業,—,—,—,—
2016,宿舍舍監,人力仲介業,190,21428,20975,453
2016,按摩師,人力仲介業,—,—,—,—
2016,商店銷售人員(含百貨公司樓管人員),人力仲介業,…,…,…,…
2016,收銀員及售票員,人力仲介業,—,—,—,—
2016,展售說明人員,人力仲介業,—,—,—,—
2016,電話及網路行銷人員,人力仲介業,…,…,…,…
2016,加油站服務員,人力仲介業,—,—,—,—
2016,兒童照顧人員(含保母),人力仲介業,…,…,…,…
2016,健康照顧人員(含看護_月子照護),人力仲介業,—,—,—,—
2016,建築物管理員_保全及警衛人員,人力仲介業,144,32334,32034,300
2016,救生員,人力仲介業,—,—,—,—
2016,技藝_機械設備操作及組裝人員,人力仲介業,…,…,…,…
2016,園藝及農牧業生產人員,人力仲介業,—,—,—,—
2016,泥作工作人員,人力仲介業,—,—,—,—
2016,車輛維修人員(含自行車_機車_汽車_火車),人力仲介業,—,—,—,—
2016,產業用機器維修人員,人力仲介業,—,—,—,—
2016,美編及印刷前置人員,人力仲介業,—,—,—,—
2016,裝訂及有關工作人員,人力仲介業,—,—,—,—
2016,建築物電力系統裝修人員(含水電工),人力仲介業,—,—,—,—
2016,電力機械裝修人員,人力仲介業,—,—,—,—
2016,資(通)訊設備裝修人員,人力仲介業,—,—,—,—
2016,電子設備裝配維修人員（不含資通訊設備）,人力仲介業,—,—,—,—
2016,非食品飲料產品分級及檢查人員,人力仲介業,—,—,—,—
2016,消毒及除蟲有關工作人員,人力仲介業,—,—,—,—
2016,印刷電路板製造工,人力仲介業,—,—,—,—
2016,洗滌工_熨燙工,人力仲介業,—,—,—,—
2016,包裝機械操作人員,人力仲介業,—,—,—,—
2016,組裝(現場)人員,人力仲介業,—,—,—,—
2016,機車送件駕駛人員,人力仲介業,—,—,—,—
2016,小客_貨車駕駛人員,人力仲介業,…,…,…,…
2016,大客_貨車駕駛人員,人力仲介業,—,—,—,—
2016,推土_吊車_起重機等移運設備操作人員,人力仲介業,—,—,—,—
2016,基層技術工及勞力工,人力仲介業,1723,17706,15333,2373
2016,清潔及家事工作人員(含建築清潔工),人力仲介業,…,…,…,…
2016,勞力工,人力仲介業,—,—,—,—
2016,理貨員,人力仲介業,…,…,…,…
2016,廚房幫工(含速食烹調),人力仲介業,—,—,—,—
2016,主管及經理人員,人力供應業,2569,76702,71584,5118
2016,高階主管(總經理及總執行長),人力供應業,130,150945,150945,— 
2016,中階主管(經理),人力供應業,623,99454,92886,6568
2016,監督人員(含現場及辦公室主任_科/股長),人力供應業,1816,63582,58595,4987
2016,專業人員,人力供應業,1430,55266,55021,245
2016,品管工程師,人力供應業,— ,— ,— ,— 
2016,工管及生管工程師,人力供應業,… ,… ,… ,… 
2016,環境工程師,人力供應業,… ,… ,… ,… 
2016,機械工程師(含造船_輪機_鑄造),人力供應業,— ,— ,— ,— 
2016,化工工程師,人力供應業,… ,… ,… ,… 
2016,電機工程師,人力供應業,… ,… ,… ,… 
2016,電子工程師,人力供應業,560,57274,56923,351
2016,平面及多媒體設計師,人力供應業,8,46818,46818,— 
2016,護理人員,人力供應業,… ,… ,… ,… 
2016,勞安及衛生管理人員(含工業安全管理師),人力供應業,… ,… ,… ,… 
2016,財務_經濟及投資分析研究人員,人力供應業,… ,… ,… ,… 
2016,專案管理師(含經營管理顧問),人力供應業,46,49623,49623,— 
2016,稽核人員,人力供應業,… ,… ,… ,… 
2016,人力資源管理師,人力供應業,54,44618,43837,781
2016,廣告及行銷專業人員(含企劃),人力供應業,57,40373,40064,309
2016,資訊系統分析及設計師,人力供應業,18,55259,53857,1402
2016,軟體開發及程式設計師,人力供應業,… ,… ,… ,… 
2016,資料庫及網路專業人員,人力供應業,10,47882,47404,478
2016,律師及相關專業人員,人力供應業,… ,… ,… ,… 
2016,編輯_作家及有關撰稿人員,人力供應業,… ,… ,… ,… 
2016,翻譯人員,人力供應業,28,35098,33830,1268
2016,技術員及助理專業人員,人力供應業,4891,44111,42188,1923
2016,電機技術員,人力供應業,838,48748,48056,692
2016,電子技術員,人力供應業,496,43410,38744,4666
2016,機械技術員(含造船_輪機_鑄造),人力供應業,36,36205,34089,2116
2016,食品技術員,人力供應業,193,44019,44019,— 
2016,工管及生管技術員,人力供應業,— ,— ,— ,— 
2016,環境工程技術員,人力供應業,— ,— ,— ,— 
2016,紡織技術員,人力供應業,… ,… ,… ,… 
2016,信用及貸款人員,人力供應業,324,30576,27004,3572
2016,會計人員,人力供應業,134,79973,79109,864
2016,統計及精算助理專業人員,人力供應業,… ,… ,… ,… 
2016,工商業銷售代表(含業務員),人力供應業,427,39284,36732,2552
2016,採購員,人力供應業,— ,— ,— ,— 
2016,會議及活動規劃人員,人力供應業,— ,— ,— ,— 
2016,職業介紹人及承包人,人力供應業,211,45075,36917,8158
2016,專業秘書,人力供應業,26,65697,63278,2419
2016,法務人員,人力供應業,93,31347,30969,378
2016,節目助理及舞台相關工作人員,人力供應業,— ,— ,— ,— 
2016,資訊管理及維護技術員,人力供應業,2079,43517,42434,1083
2016,廣播及視聽技術員(含放映員),人力供應業,… ,… ,… ,… 
2016,事務支援人員,人力供應業,36651,38265,35413,2852
2016,總務,人力供應業,324,28821,26911,1910
2016,一般辦公室事務人員(含文書),人力供應業,17688,37426,34313,3113
2016,資料輸入人員,人力供應業,3454,29517,27650,1867
2016,收帳_收費人員(含帳款催收),人力供應業,… ,… ,… ,… 
2016,旅遊諮詢人員(含旅行社事務人員),人力供應業,— ,— ,— ,— 
2016,接待員及服務台事務人員,人力供應業,1277,33361,32391,970
2016,總機人員,人力供應業,1174,45357,36769,8588
2016,電話及網路客服人員,人力供應業,7489,42933,41643,1290
2016,統計調查訪談人員,人力供應業,162,41251,34782,6469
2016,會計助理_簿記_出納,人力供應業,666,42133,36488,5645
2016,存貨事務人員,人力供應業,146,30515,28303,2212
2016,運輸事務人員(含稽查_調度_管理_航務),人力供應業,… ,… ,… ,… 
2016,人事事務人員,人力供應業,4253,40393,36562,3831
2016,郵件處理及投遞人員,人力供應業,— ,— ,— ,— 
2016,服務及銷售工作人員,人力供應業,17715,38503,34891,3612
2016,導遊_領隊及解說員,人力供應業,… ,… ,… ,… 
2016,廚師,人力供應業,31,48297,47301,996
2016,宿舍舍監,人力供應業,— ,— ,— ,— 
2016,按摩師,人力供應業,… ,… ,… ,… 
2016,商店銷售人員(含百貨公司樓管人員),人力供應業,7728,43647,37742,5905
2016,收銀員及售票員,人力供應業,519,38262,38262,— 
2016,展售說明人員,人力供應業,1082,18103,17702,401
2016,電話及網路行銷人員,人力供應業,1809,39625,33161,6464
2016,加油站服務員,人力供應業,6399,35389,34430,959
2016,兒童照顧人員(含保母),人力供應業,— ,— ,— ,— 
2016,健康照顧人員(含看護_月子照護),人力供應業,39,30946,30946,— 
2016,建築物管理員_保全及警衛人員,人力供應業,39,50522,48927,1595
2016,救生員,人力供應業,… ,… ,… ,… 
2016,技藝_機械設備操作及組裝人員,人力供應業,30011,33108,29651,3457
2016,園藝及農牧業生產人員,人力供應業,— ,— ,— ,— 
2016,泥作工作人員,人力供應業,… ,… ,… ,… 
2016,車輛維修人員(含自行車_機車_汽車_火車),人力供應業,— ,— ,— ,— 
2016,產業用機器維修人員,人力供應業,213,19812,19812,— 
2016,美編及印刷前置人員,人力供應業,— ,— ,— ,— 
2016,裝訂及有關工作人員,人力供應業,— ,— ,— ,— 
2016,建築物電力系統裝修人員(含水電工),人力供應業,31,46959,46959,— 
2016,電力機械裝修人員,人力供應業,2979,40206,33160,7046
2016,資(通)訊設備裝修人員,人力供應業,2611,47280,44326,2954
2016,電子設備裝配維修人員（不含資通訊設備）,人力供應業,2107,24696,21667,3029
2016,非食品飲料產品分級及檢查人員,人力供應業,— ,— ,— ,— 
2016,消毒及除蟲有關工作人員,人力供應業,— ,— ,— ,— 
2016,印刷電路板製造工,人力供應業,1074,29474,27407,2067
2016,洗滌工_熨燙工,人力供應業,… ,… ,… ,… 
2016,包裝機械操作人員,人力供應業,— ,— ,— ,— 
2016,組裝(現場)人員,人力供應業,19115,30414,27517,2897
2016,機車送件駕駛人員,人力供應業,… ,… ,… ,… 
2016,小客_貨車駕駛人員,人力供應業,501,36483,34246,2237
2016,大客_貨車駕駛人員,人力供應業,948,46670,37470,9200
2016,推土_吊車_起重機等移運設備操作人員,人力供應業,267,42555,37949,4606
2016,基層技術工及勞力工,人力供應業,19702,27395,26275,1120
2016,清潔及家事工作人員(含建築清潔工),人力供應業,4210,28487,28195,292
2016,勞力工,人力供應業,12197,27135,26025,1110
2016,理貨員,人力供應業,2259,27628,24391,3237
2016,廚房幫工(含速食烹調),人力供應業,1036,25525,25525,— 
2016,主管及經理人員,旅行及相關代訂服務業,4739,61585,59392,2193
2016,高階主管(總經理及總執行長),旅行及相關代訂服務業,113,153934,150947,2987
2016,中階主管(經理),旅行及相關代訂服務業,871,77825,74680,3145
2016,監督人員(含現場及辦公室主任_科/股長),旅行及相關代訂服務業,3755,55039,53091,1948
2016,專業人員,旅行及相關代訂服務業,397,44778,40592,4186
2016,品管工程師,旅行及相關代訂服務業,— ,— ,— ,— 
2016,工管及生管工程師,旅行及相關代訂服務業,— ,— ,— ,— 
2016,環境工程師,旅行及相關代訂服務業,— ,— ,— ,— 
2016,機械工程師(含造船_輪機_鑄造),旅行及相關代訂服務業,— ,— ,— ,— 
2016,化工工程師,旅行及相關代訂服務業,— ,— ,— ,— 
2016,電機工程師,旅行及相關代訂服務業,— ,— ,— ,— 
2016,電子工程師,旅行及相關代訂服務業,— ,— ,— ,— 
2016,平面及多媒體設計師,旅行及相關代訂服務業,51,41133,41003,130
2016,護理人員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,勞安及衛生管理人員(含工業安全管理師),旅行及相關代訂服務業,— ,— ,— ,— 
2016,財務_經濟及投資分析研究人員,旅行及相關代訂服務業,… ,… ,… ,… 
2016,專案管理師(含經營管理顧問),旅行及相關代訂服務業,… ,… ,… ,… 
2016,稽核人員,旅行及相關代訂服務業,… ,… ,… ,… 
2016,人力資源管理師,旅行及相關代訂服務業,… ,… ,… ,… 
2016,廣告及行銷專業人員(含企劃),旅行及相關代訂服務業,241,45765,38958,6807
2016,資訊系統分析及設計師,旅行及相關代訂服務業,22,50881,50881,— 
2016,軟體開發及程式設計師,旅行及相關代訂服務業,… ,… ,… ,… 
2016,資料庫及網路專業人員,旅行及相關代訂服務業,14,49975,49975,— 
2016,律師及相關專業人員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,編輯_作家及有關撰稿人員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,翻譯人員,旅行及相關代訂服務業,… ,… ,… ,… 
2016,技術員及助理專業人員,旅行及相關代訂服務業,3419,41646,37356,4290
2016,電機技術員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,電子技術員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,機械技術員(含造船_輪機_鑄造),旅行及相關代訂服務業,— ,— ,— ,— 
2016,食品技術員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,工管及生管技術員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,環境工程技術員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,紡織技術員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,信用及貸款人員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,會計人員,旅行及相關代訂服務業,37,50376,50278,98
2016,統計及精算助理專業人員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,工商業銷售代表(含業務員),旅行及相關代訂服務業,3292,41529,37085,4444
2016,採購員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,會議及活動規劃人員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,職業介紹人及承包人,旅行及相關代訂服務業,— ,— ,— ,— 
2016,專業秘書,旅行及相關代訂服務業,21,44973,44529,444
2016,法務人員,旅行及相關代訂服務業,30,40735,40735,— 
2016,節目助理及舞台相關工作人員,旅行及相關代訂服務業,— ,— ,— ,— 
2016,資訊管理及維護技術員,旅行及相關代訂服務業,39,42106,41510,596
2016,廣播及視聽技術員(含放映員),旅行及相關代訂服務業,— ,— ,— ,— 
